,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
20,6251,11089,3431,2375,18511,3826,3358,11077,4534,5171,4134,1785,7208,15808,11530,9764,7608,2013,15980,12581,0,3880,5358,5510,6225,4855,1366,5800,4240,9394,7882,6607,5647,7663,2717,6943,7207,6282,6507,5043,2305,6320,7198,8769,4738,13818,14425,3857,3260,1352,6261,4776,7815,5722,7468,13748,9082,5624,9070,4208,8736,3591,6951,11035,5378,4089,8092,6902,2056,7063,7696,7605,10102,17950,10016,3033,13202,5619,6704,14650,5439,3056,7888,4550,4920,12233,15919,4494,10845,7135,1965,7909,6485,5454,9874,5409,6076,2737,8196,17904
21,8728,13566,6288,2801,19382,6683,4733,12833,7899,5725,8029,4642,7762,20556,12401,10635,3478,4870,20751,15934,3919,0,2948,3101,3458,7332,3450,8991,623,12242,3752,9967,2881,8534,5751,9420,3721,9139,7933,2277,5162,3283,10235,10674,3638,18992,16181,6714,6671,4209,7369,7633,5048,8579,8328,15756,11559,6732,11644,7662,10642,6448,2821,12791,7855,6946,8963,7761,4253,2933,10184,10171,10973,17149,10887,5229,15210,3210,9182,17499,8296,5253,9748,7407,1622,13989,16790,7351,14133,8006,4238,8780,4057,8808,11630,8764,7502,5594,9067,16814
22,9329,14168,8581,5148,19097,8809,7080,15519,8501,2984,8630,6074,5021,20271,14075,11236,5729,7056,20467,16536,5315,2868,0,1812,6326,7934,4681,10851,3491,13498,4179,10569,5749,7690,6352,10022,3633,11882,10502,5144,7011,5534,10837,13820,6506,18708,18866,8592,7273,6664,9938,9544,7071,10773,11145,16358,12161,9300,12246,8264,13787,8642,3825,15476,8457,8787,9565,10578,4854,3901,12869,10772,11574,20324,11489,5831,15811,319,9783,16765,10208,5854,12939,9601,1542,16675,16505,9545,14734,6762,4839,9381,2389,9410,14316,9365,10071,7788,8071,20571
23,9510,14348,8761,5328,20164,8989,7260,14465,8681,4521,8810,6254,6558,21338,13183,11416,4295,7236,21533,16716,5495,3048,1862,0,6214,8114,4861,11032,3671,13678,2970,10749,5886,9316,6532,10202,2508,12062,10938,5138,7191,4268,11017,13679,6643,19774,17812,8772,7453,6844,10374,9724,5689,10953,12791,16538,12341,9736,12426,8444,13646,8822,2616,14422,8637,8967,9745,12337,5034,2692,11815,10952,11755,17930,11669,6011,15992,2123,9963,16945,10388,6034,12753,9781,1536,15621,17572,9725,14914,8788,5019,9561,1264,9590,13262,9545,10507,7968,9849,17596
24,9341,14687,6045,4886,17483,5363,3288,9813,8187,9182,6842,6788,11218,18164,15858,14091,4266,6919,20170,15466,6095,3456,6447,6164,0,9412,5730,6379,3971,9630,5428,8873,982,11990,7622,9622,5984,7698,5320,2480,7042,3508,9464,8062,1443,16174,13160,5909,7078,5468,4756,6009,3155,6372,5715,15525,11777,4119,11342,7886,8029,5188,4256,9770,9246,6454,12420,5148,7709,4369,7163,9871,14429,18185,14344,8686,15558,6708,9383,14886,6544,8709,7136,5544,5120,10969,17134,5488,14881,11463,7694,12236,6320,7719,8610,7675,4889,5638,12524,18139
25,3023,7725,3875,6167,13139,4103,6316,14035,2334,6850,2982,3879,5101,11975,6266,4339,10266,2842,12146,9217,4854,7405,7992,8145,9323,0,5425,7093,8028,7191,10176,4263,10286,3700,2138,3715,9842,5689,9130,9682,2796,10071,4530,10061,8217,9985,17383,3646,2382,4361,8689,4148,11608,5980,9752,9915,5718,8054,5803,2097,10028,4846,9608,13993,523,3391,2828,9356,3079,9721,9940,4466,4677,11308,4592,1964,9368,8254,3477,10322,4415,2082,8231,4653,7578,15191,10547,4597,7481,3574,3628,3411,9119,3243,12832,3198,8588,4492,4233,10972
26,6801,11640,4395,2204,18219,4791,4136,11809,5498,4582,5098,2749,6619,19393,11238,9471,5966,2977,19588,13131,1366,3105,4621,4774,5756,5405,0,6765,3728,10358,6240,7571,5178,7371,3681,7493,6209,7246,7557,4574,3269,5772,8163,9733,4794,17829,15157,4822,4224,2316,6993,5740,7346,6686,8201,13830,9633,6356,9718,5172,9700,4556,5309,11767,5928,5053,7800,7634,2326,5421,8968,8244,9810,18914,9724,3302,13283,4883,7255,15614,6404,3326,8852,5514,3295,12966,15627,5458,11396,6843,2311,7616,5748,6418,10606,6373,7126,3702,7904,18868
27,6242,8770,3314,6698,11567,2633,3949,8728,5455,10745,4347,5237,10620,12248,11339,9498,10458,4387,14253,9549,5770,8914,10931,11084,6331,6729,6734,0,9274,3713,11134,5237,6652,9962,5091,6394,11690,2357,2564,8028,4510,9345,4619,3494,5510,10257,12076,3178,4546,4417,3326,3278,9348,1052,3186,9608,6458,2691,6022,5203,3462,2693,9962,8686,6562,3771,8868,3734,6140,10075,3374,6164,10149,12268,10023,5885,9641,11193,5903,8969,2432,5494,2614,1989,10517,9885,11217,2077,8964,9434,6567,9451,12026,4988,7526,4943,2490,3443,10495,12222
28,9389,14228,6607,3120,20044,7002,5052,12357,8561,6387,7310,4961,8424,21218,13063,11296,3743,5189,21413,16595,4238,696,3610,3762,3777,7994,3768,9310,0,12561,4017,10629,3200,9195,6412,10082,3986,9458,8252,3030,5481,3078,10897,10993,3957,19654,15705,7033,6436,4528,7688,7952,4572,8897,10683,16418,12221,7050,12306,8324,10960,6767,3086,12315,8517,7265,9625,10230,4914,3198,9708,10832,11634,21117,11549,5891,15871,3871,9843,17817,8615,5914,10067,7726,2283,13513,17452,7670,14794,8668,4899,9441,4322,9470,11154,9425,7821,5913,9728,17475
29,4349,6348,6906,10246,9145,6224,7702,12086,5515,13369,5706,8829,11388,9826,11087,8105,13816,7979,11831,7127,9414,12272,13556,13708,9689,7224,10386,3793,12632,0,14493,3765,10010,9594,7701,4501,15048,3617,5922,11386,7567,12703,3039,4497,8868,7835,15434,5773,7210,8061,6685,4908,12706,4207,6544,7186,4453,6049,4017,5908,4464,6285,13320,12044,6849,5529,8262,7092,8642,13433,6732,4159,9897,9846,9770,8324,7219,13817,4010,6547,4095,7878,3809,4910,13141,13243,8795,5669,6542,9814,9191,9042,15384,5132,10884,5349,5848,7034,10127,9800
